id,name,description,discount_percentage,discount_active,status,created_at,updated_at
1,"Royal Heritage","Premium collection with elegant traditional designs",5.00,1,active,"2025-07-13 21:33:56","2025-07-13 21:33:56"
2,"Modern Fusion","Contemporary and traditional mix for modern women",8.00,1,active,"2025-07-13 21:33:56","2025-07-13 21:33:56"
3,"Casual Comfort","Comfortable daily wear collection",10.00,1,active,"2025-07-13 21:33:56","2025-07-13 21:33:56"
4,"Luxury Elite","Luxury formal wear collection with premium fabrics",15.00,1,active,"2025-07-13 21:33:56","2025-07-13 21:33:56"
5,"Trendy Vibes","Modern trendy designs for fashion forward women",12.00,1,active,"2025-07-13 21:33:56","2025-07-13 21:33:56"
6,"Bridal Dreams","Bridal and party wear with heavy embellishments",7.00,1,active,"2025-07-13 21:33:56","2025-07-13 21:33:56"
7,"Office Chic","Professional wear for working women",6.00,1,active,"2025-07-13 21:33:56","2025-07-13 21:33:56"
8,"Summer Breeze","Light and airy collection for summer season",18.00,1,active,"2025-07-13 21:33:56","2025-07-13 21:33:56"
9,"Royal Heritage","Premium collection with elegant traditional designs",5.00,1,active,"2025-07-15 01:43:01","2025-07-15 01:43:01"
10,"Modern Fusion","Contemporary and traditional mix for modern women",8.00,1,active,"2025-07-15 01:43:01","2025-07-15 01:43:01"
11,"Casual Comfort","Comfortable daily wear collection",10.00,1,active,"2025-07-15 01:43:01","2025-07-15 01:43:01"
12,"Luxury Elite","Luxury formal wear collection with premium fabrics",15.00,1,active,"2025-07-15 01:43:01","2025-07-15 01:43:01"
13,"Trendy Vibes","Modern trendy designs for fashion forward women",12.00,1,active,"2025-07-15 01:43:01","2025-07-15 01:43:01"
14,"Bridal Dreams","Bridal and party wear with heavy embellishments",7.00,1,active,"2025-07-15 01:43:01","2025-07-15 01:43:01"
15,"Office Chic","Professional wear for working women",6.00,1,active,"2025-07-15 01:43:01","2025-07-15 01:43:01"
16,"Summer Breeze","Light and airy collection for summer season",18.00,1,active,"2025-07-15 01:43:01","2025-07-15 01:43:01"
